0.584 2.277
-0.457 1.793
-0.111 2.609
0.310 2.106
0.028 2.720
-0.240 1.779
-0.103 2.220
0.091 1.550
-0.434 1.277
0.449 0.974
-0.096 0.585
0.428 2.673
-0.342 2.856
0.716 2.245
0.577 1.260
0.113 1.235
0.128 2.512
0.185 2.136
0.209 3.007
0.171 1.706
0.819 2.112
-1.076 1.366
-0.054 2.261
1.026 2.151
0.069 1.723
-0.600 1.650
-0.534 1.544
1.229 1.515
0.123 2.626
-0.049 1.241
-1.233 1.713
0.099 2.820
0.173 1.657
-0.042 1.832
-0.005 1.938
0.641 1.777
0.097 1.782
0.457 1.992
-0.554 1.974
0.192 2.063
0.779 1.381
0.241 1.831
-0.068 1.098
0.195 1.877
-0.839 1.535
-0.195 2.129
-0.400 2.043
-0.510 2.729
0.497 2.001
-0.604 2.351
0.177 1.663
0.316 1.874
0.494 2.047
0.102 2.677
0.205 3.235
-0.443 2.317
0.806 0.992
0.578 2.258
-0.160 1.639
0.382 2.415
0.158 1.010
-0.026 0.982
-0.425 2.111
0.718 2.628
-0.016 2.528
0.654 1.821
-0.186 0.662
0.197 2.177
-0.300 2.515
0.163 3.246
0.806 1.785
-1.091 1.366
0.191 1.599
0.459 1.843
0.042 1.720
-1.086 2.412
0.346 2.275
-0.583 1.538
0.249 3.014
0.264 1.880
0.602 2.457
0.891 0.916
-0.583 1.452
-0.383 1.612
-0.286 1.064
0.299 1.329
-0.715 2.018
0.057 1.944
0.243 2.032
-0.567 2.005
0.045 1.834
0.220 1.701
-0.283 1.832
-0.047 2.738
0.859 2.147
0.006 2.429
-0.013 1.649
1.190 0.996
0.213 2.302
-0.054 2.158
0.910 2.715
0.411 1.204
-0.320 1.318
0.027 1.770
0.725 2.313
0.320 1.311
1.174 2.023
0.540 2.630
0.479 1.561
0.142 1.700
-0.319 2.064
-0.200 1.796
0.342 2.497
-0.180 1.720
0.049 1.758
0.613 1.264
0.015 2.298
0.901 2.133
-0.207 1.648
-0.551 1.998
-0.522 2.407
